repo1,repo2,Similarity(No. 1),Similarity(No. 2)
mikeorr/Unipath,google/yapf,0.669,0.644
thumbor/thumbor,lincolnloop/python-qrcode,0.334,0.563
google/pyringe,scanny/python-pptx,0.764,0.809
tiangolo/fastapi,isnowfy/snownlp,0.806,0.646
erikrose/more-itertools,Suor/funcy,0.597,0.731
LuminosoInsight/python-ftfy,orsinium/textdistance,0.061,0.113
nicfit/eyeD3,sergree/matchering,0.11,0.177
fogleman/Quads,fabric/fabric,0.773,0.971
google/python-fire,facebookresearch/pytext,0.745,0.965
coala/coala,jendrikseipp/vulture,0.191,0.084
chriskiehl/Gooey,ChrisKnott/Eel,0.157,0.044
SerpentAI/SerpentAI,Theano/Theano,0.63,0.798
flask-admin/flask-admin,statsmodels/statsmodels,0.157,0.471
django-compressor/django-compressor,miracle2k/webassets,0.123,0.07
ironmussa/Optimus,blaze/blaze,0.171,0.119
LuminosoInsight/python-ftfy,vinta/pangu.py,0.101,0.043
jakubroztocil/httpie,aws/aws-cli,0.031,0.039
scanny/python-pptx,jschneier/django-storages,0.563,0.7
clips/pattern,saffsd/langid.py,0.188,0.686
Parsely/streamparse,Parsely/streamparse,0.129,0.173
chapmanb/bcbio-nextgen,sympy/sympy,0.143,0.104
omab/python-social-auth,omab/python-social-auth,0.049,0.081
vinta/pangu.py,mozillazg/python-pinyin,0.048,0.062
scrapinghub/portia,boppreh/keyboard,0.041,0.401
carlospalol/money,dask/dask,0.418,0.524
fxsjy/jieba,python-greenlet/greenlet,0.448,0.905
henriquebastos/python-decouple,mitsuhiko/pluginbase,0.24,0.824
jmcarp/robobrowser,aaugustin/websockets,0.269,0.69
benfred/py-spy,getnikola/nikola,0.035,0.697
benedekrozemberczki/karateclub,benedekrozemberczki/karateclub,0.194,0.481
bloomreach/s4cmd,jazzband/django-taggit,0.137,0.475
ovalhub/pyicu,ovalhub/pyicu,0.137,0.554
stephenmcd/hot-redis,shinux/PyTime,0.136,0.592
benoitc/gunicorn,Pylons/waitress,0.038,0.545
html5lib/html5lib-python,pytoolz/cytoolz,0.064,0.544
dfunckt/django-rules,pycco-docs/pycco,0.758,0.598
Theano/Theano,SerpentAI/SerpentAI,0.306,0.635
facebook/pyre-check,jindaxiang/akshare,0.751,0.552
timofurrer/try,un33k/python-slugify,0.755,0.588
dimka665/awesome-slugify,gabrielfalcao/HTTPretty,0.299,0.833
ChrisKnott/Eel,PySimpleGUI/PySimpleGUI,0.187,0.627
pybee/toga,srusskih/SublimeJEDI,0.881,0.831
facebook/pyre-check,ageitgey/face_recognition,0.871,0.857
ponyorm/pony,ponyorm/pony,0.468,0.412
facebook/pyre-check,mailgun/flanker,0.504,0.424
laixintao/iredis,laixintao/iredis,0.343,0.533
davidaurelio/hashids-python,codelucas/newspaper,0.543,0.668
BVLC/caffe,audreyr/cookiecutter,0.266,0.675
libvips/pyvips,libvips/pyvips,0.253,0.426
mher/flower,WiserTogether/django-remote-forms,0.21,0.677
flask-restful/flask-restful,rq/rq,0.157,0.597
Pylons/deform,dyve/django-bootstrap3,0.091,0.147
aizvorski/scikit-video,jiaaro/pydub,0.206,0.145
0rpc/zerorpc-python,tomerfiliba/rpyc,0.191,0.163
pyglet/pyglet,mitsuhiko/unp,0.044,0.039
sergree/matchering,benhamner/Metrics,0.186,0.083
alecthomas/voluptuous,istrategylabs/django-wordpress,0.629,0.191
nose-devs/nose2,HypothesisWorks/hypothesis,0.181,0.116
maxmind/geoip-api-python,geopy/geopy,0.383,0.105
willmcgugan/rich,python-greenlet/greenlet,0.365,0.657
jpadilla/pyjwt,mpdavis/python-jose,0.179,0.682
pyinvoke/invoke,gleitz/howdoi,0.948,0.511
aaugustin/websockets,rossgoodwin/hmap,0.987,0.553
istrategylabs/django-wordpress,schematics/schematics,0.656,0.118
cobrateam/splinter,cobrateam/splinter,0.373,0.085
aws/aws-cli,inducer/pudb,0.707,0.224
mobolic/facebook-sdk,burnash/gspread,0.289,0.196
chapmanb/bcbio-nextgen,quantopian/zipline,0.36,0.103
pwaller/pyfiglet,ztane/python-Levenshtein,0.123,0.107
google/pytype,idan/oauthlib,0.431,0.775
altair-viz/altair,bokeh/bokeh,0.061,0.62
evonove/django-oauth-toolkit,mongodb/motor,0.118,0.285
NicolasHug/Surprise,maciejkula/spotlight,0.061,0.276
Supervisor/supervisor,elapouya/python-docx-template,0.239,0.398
mher/flower,wooey/wooey,0.352,0.337
Microsoft/Pyjion,Maratyszcza/PeachPy,0.084,0.515
mongodb/motor,Cornices/cornice,0.044,0.52
schematics/schematics,scottrogowski/code2flow,0.086,0.339
boto/boto3,pymc-devs/pymc3,0.241,0.312
libvips/pyvips,python-pillow/Pillow,0.265,0.086
python-pillow/Pillow,dahlia/wand,0.371,0.078
gotcha/ipdb,gotcha/ipdb,0.205,0.073
pymc-devs/pymc3,chapmanb/bcbb,0.135,0.046
emirozer/fake2db,tylerlaberge/PyPattyrn,0.646,0.49
Parsely/streamparse,wireservice/csvkit,0.28,0.395
cdgriffith/Box,grantjenks/python-sortedcontainers,0.876,0.544
CleanCut/green,devsnd/tinytag,0.383,0.635
pyglet/pyglet,chriskiehl/Gooey,0.417,0.276
msiemens/tinydb,erikrose/more-itertools,0.921,0.508
bbangert/beaker,sympy/sympy,0.688,0.297
miso-belica/sumy,deanmalmgren/textract,0.389,0.214
facebook/PathPicker,nvbn/thefuck,0.181,0.231
getnikola/nikola,lektor/lektor,0.287,0.147
selwin/python-user-agents,ageitgey/face_recognition,0.732,0.67
vinta/pangu.py,pwaller/pyfiglet,0.794,0.573
saffsd/langid.py,Kotti/Kotti,0.985,0.974
buriy/python-readability,pymc-devs/pymc3,0.974,0.936
nvbn/thefuck,davidhalter/jedi,0.88,0.231
idan/oauthlib,evonove/django-oauth-toolkit,0.527,0.224
feincms/feincms,feincms/feincms,0.095,0.186
zopefoundation/ZODB,LuminosoInsight/python-ftfy,0.04,0.329
tiangolo/fastapi,jeffknupp/sandman2,0.024,0.089
SmileyChris/django-countries,SmileyChris/django-countries,0.103,0.126
MechanicalSoup/MechanicalSoup,knipknap/SpiffWorkflow,0.649,0.618
google/python-fire,Miserlou/Zappa,0.39,0.773
selwin/python-user-agents,pyparsing/pyparsing,0.845,0.855
librosa/librosa,pyenv/pyenv,0.864,0.923
SavinaRoja/PyUserInput,lektor/lektor,0.183,0.04
dyve/django-bootstrap3,Pylons/deform,0.104,0.062
davidhalter/jedi-vim,Fizzadar/pyinfra,0.057,0.211
agiliq/merchant,burnash/gspread,0.673,0.128
lepture/mistune,HypothesisWorks/hypothesis,0.23,0.561
Manisso/fsociety,emirozer/fake2db,0.313,0.653
Manisso/fsociety,sqlmapproject/sqlmap,0.25,0.033
Parisson/TimeSide,worldveil/dejavu,0.328,0.055
mindsdb/mindsdb,FactoryBoy/factory_boy,0.056,0.198
nucleic/enaml,nucleic/enaml,0.109,0.082
getsentry/responses,spulec/freezegun,0.534,0.358
psf/requests-html,JohnLangford/vowpal_wabbit,0.795,0.185
rq/rq,keleshev/schema,0.578,0.889
lxneng/alipay,nvbn/thefuck,0.771,0.884
daboth/pagan,ajenti/ajenti,0.32,0.261
mozilla/unicode-slugify,mozilla/unicode-slugify,0.147,0.328
pyexcel/pyexcel,unoconv/unoconv,0.136,0.057
schematics/schematics,Julian/jsonschema,0.108,0.139
zostera/django-bootstrap4,zostera/django-bootstrap4,0.63,0.762
django-guardian/django-guardian,facebook/PathPicker,0.767,0.875
dmlc/xgboost,JohnLangford/vowpal_wabbit,0.041,0.098
jaraco/path.py,ahupp/python-magic,0.054,0.128
mindsdb/mindsdb,openai/gym,0.149,0.198
geopy/geopy,dmlc/xgboost,0.209,0.112
SerpentAI/SerpentAI,dmlc/mxnet,0.129,0.065
saffsd/langid.py,lancopku/pkuseg-python,0.12,0.076
podio/valideer,Alir3z4/html2text,0.195,0.342
binux/pyspider,lorien/grab,0.279,0.347
mining/mining,ironmussa/Optimus,0.588,0.463
pyinvoke/invoke,tomerfiliba/rpyc,0.527,0.462
quantopian/zipline,sympy/sympy,0.097,0.036
aaugustin/websockets,crossbario/autobahn-python,0.122,0.082
PyCQA/modernize,bpython/bpython,0.06,0.054
DamnWidget/anaconda,DamnWidget/anaconda,0.137,0.096
ageitgey/face_recognition,ionelmc/python-hunter,0.571,0.665
fogleman/Quads,python-pillow/Pillow,0.746,0.526
twisted/treq,spyoungtech/grequests,0.673,0.534
MechanicalSoup/MechanicalSoup,blaze/blaze,0.842,0.368
benfred/implicit,NicolasHug/Surprise,0.062,0.201
asweigart/pyautogui,locustio/locust,0.073,0.127
tyiannak/pyAudioAnalysis,jiaaro/pydub,0.035,0.12
psf/requests,spyoungtech/grequests,0.04,0.123
laixintao/iredis,nicfit/eyeD3,0.172,0.803
gaojiuli/toapi,lericson/pylibmc,0.087,0.686
ZoomerAnalytics/xlwings,aws/aws-cli,0.238,0.666
rkern/line_profiler,jonathanslenders/python-prompt-toolkit,0.095,0.694
pytoolz/toolz,sightmachine/SimpleCV,0.563,0.714
asweigart/pyautogui,cobrateam/splinter,0.239,0.801
binux/pyspider,binux/pyspider,0.047,0.068
pricingassistant/mrq,rq/rq,0.217,0.096
agiliq/merchant,pykong/copier,0.72,0.802
deanmalmgren/textract,python-rope/rope,0.201,0.752
nficano/python-lambda,Miserlou/Zappa,0.308,0.156
encode/orm,dahlia/awesome-sqlalchemy,0.401,0.246
jaraco/path.py,schematics/schematics,0.173,0.615
scanny/python-pptx,unoconv/unoconv,0.383,0.297
Fizzadar/pyinfra,saltstack/salt,0.038,0.062
isnowfy/snownlp,clips/pattern,0.041,0.055
saffsd/langid.py,clips/pattern,0.022,0.077
shinux/PyTime,shinux/PyTime,0.095,0.081
timofurrer/try,gleitz/howdoi,0.03,0.082
vinta/pangu.py,LuminosoInsight/python-ftfy,0.085,0.075
bpython/bpython,spulec/freezegun,0.919,0.642
Alir3z4/html2text,zopefoundation/ZODB,0.843,0.426
idan/oauthlib,pynamodb/PynamoDB,0.214,0.13
SavinaRoja/PyUserInput,python/black,0.492,0.155
mindflayer/python-mocket,graphql-python/graphene,0.064,0.134
fabtools/fabtools,fabric/fabric,0.049,0.064
httplib2/httplib2,srusskih/SublimeJEDI,0.542,0.445
timofurrer/maya,quantopian/zipline,0.655,0.208
graphql-python/graphene,graphql-python/graphene,0.201,0.084
pybuilder/pybuilder,platformio/platformio-core,0.11,0.036
ryanmcgrath/twython,sdispater/poetry,0.682,0.877
khamidou/lptrace,dyve/django-bootstrap3,0.649,0.928
awslabs/aws-data-wrangler,mining/mining,0.383,0.117
dylanaraps/pywal,thumbor/thumbor,0.417,0.075
maxmind/geoip-api-python,maxmind/geoip-api-python,0.66,0.296
jazzband/django-pipeline,Alir3z4/python-currencies,0.311,0.214
klen/pylama,benfred/py-spy,0.177,0.629
devsnd/tinytag,pennersr/django-allauth,0.179,0.586
miso-belica/sumy,dirn/When.py,0.724,0.313
cdgriffith/Box,wemake-services/wemake-python-styleguide,0.853,0.586
khamidou/lptrace,ionelmc/python-manhole,0.825,0.811
marshmallow-code/webargs,HypothesisWorks/hypothesis,0.748,0.681
gleitz/howdoi,nvbn/thefuck,0.34,0.626
boto/boto3,clips/pattern,0.863,0.619
Fizzadar/pyinfra,worldveil/dejavu,0.911,0.984
python-pillow/Pillow,dyve/django-bootstrap3,0.722,0.98
Supervisor/supervisor,euske/pdfminer,0.609,0.461
google/pyringe,khamidou/lptrace,0.456,0.53
spulec/freezegun,spulec/freezegun,0.344,0.588
miracle2k/flask-assets,aizvorski/scikit-video,0.745,0.442
wtforms/wtforms,indico/indico,0.245,0.62
ionelmc/python-hunter,thauber/django-schedule,0.359,0.689
PetrochukM/PyTorch-NLP,istrategylabs/django-wordpress,0.682,0.424
scottrogowski/code2flow,PyCQA/prospector,0.421,0.298
dimka665/awesome-slugify,un33k/python-slugify,0.307,0.182
evonove/django-oauth-toolkit,lxneng/alipay,0.256,0.142
django-haystack/pysolr,soravux/scoop,0.618,0.678
lepture/mistune,ellisonleao/pyshorteners,0.947,0.588
python/typeshed,aaugustin/websockets,0.831,0.867
kiddouk/redisco,pytoolz/cytoolz,0.838,0.92
django-haystack/pysolr,jek/blinker,0.636,0.816
errbotio/errbot,Bogdanp/dramatiq,0.417,0.76
dfunckt/django-rules,dfunckt/django-rules,0.127,0.159
chapmanb/bcbio-nextgen,tartiflette/tartiflette-aiohttp,0.441,0.3
istrategylabs/django-wordpress,mobolic/facebook-sdk,0.444,0.316
cdgriffith/Box,flask-api/flask-api,0.664,0.294
SavinaRoja/PyUserInput,Microsoft/PTVS,0.082,0.129
quantopian/zipline,benedekrozemberczki/karateclub,0.105,0.151
jazzband/django-pipeline,django-compressor/django-compressor,0.157,0.095
pyexcel/pyexcel,jmcnamara/XlsxWriter,0.091,0.056
google/python-fire,sqlmapproject/sqlmap,0.816,0.118
zopefoundation/ZODB,zopefoundation/ZODB,0.236,0.198
daboth/pagan,WiserTogether/django-remote-forms,0.979,0.622
FactoryBoy/factory_boy,pallets/markupsafe,0.867,0.821
jek/blinker,mitsuhiko/pluginbase,0.329,0.548
dabeaz/ply,flask-api/flask-api,0.243,0.401
nvdv/vprof,benfred/py-spy,0.694,0.167
HypothesisWorks/hypothesis,saffsd/langid.py,0.877,0.146
zachwill/moment,shinux/PyTime,0.194,0.083
awesto/django-shop,Alir3z4/python-currencies,0.1,0.069
google/yapf,MicroPyramid/forex-python,0.255,0.78
selwin/python-user-agents,bloomreach/s4cmd,0.189,0.845
facebook/PathPicker,pyinvoke/invoke,0.091,0.561
gaojiuli/toapi,facebook/pyre-check,0.044,0.394
isnowfy/snownlp,PetrochukM/PyTorch-NLP,0.12,0.223
orsinium/textdistance,seatgeek/fuzzywuzzy,0.175,0.257
twisted/treq,shazow/urllib3,0.215,0.042
saltstack/salt,ansible/ansible,0.326,0.071
gawel/pyquery,antocuni/pdb,0.064,0.657
jfkirk/tensorrec,benfred/implicit,0.209,0.574
python-openxml/python-docx,python-openxml/python-docx,0.25,0.1
kevin1024/vcrpy,wemake-services/wemake-python-styleguide,0.736,0.28
Manisso/fsociety,h2oai/h2o-3,0.384,0.46
timofurrer/try,martinblech/xmltodict,0.5,0.567
spotify/dh-virtualenv,daviddrysdale/python-phonenumbers,0.873,0.905
ponyorm/pony,dylanaraps/pywal,0.953,0.94
pykong/copier,ryanmcgrath/twython,0.052,0.682
sdispater/pendulum,shinux/PyTime,0.063,0.671
maxmind/geoip-api-python,keon/algorithms,0.628,0.799
podio/valideer,alecthomas/voluptuous,0.111,0.803
daviddrysdale/python-phonenumbers,derek73/python-nameparser,0.048,0.069
jazzband/django-taggit,jazzband/django-taggit,0.127,0.079
faif/python-patterns,Bogdanp/dramatiq,0.92,0.833
MagicStack/uvloop,lektor/lektor,0.511,0.881
giampaolo/psutil,django/channels,0.596,0.379
klen/pylama,klen/pylama,0.422,0.486
pennersr/django-allauth,jeffknupp/sandman2,0.103,0.099
pwaller/pyfiglet,lemire/simdjson,0.191,0.079
davedoesdev/python-jwt,jpadilla/pyjwt,0.23,0.333
paramiko/paramiko,pyca/pynacl,0.117,0.246
mininet/mininet,napalm-automation/napalm,0.195,0.087
facebookresearch/hydra,facebookresearch/hydra,0.012,0.036
pynamodb/PynamoDB,glamp/bashplotlib,0.854,0.936
mininet/mininet,MechanicalSoup/MechanicalSoup,0.883,0.955
dbader/schedule,cdgriffith/Box,0.715,0.091
python/typeshed,facebookresearch/hydra,0.783,0.104
ageitgey/face_recognition,selwin/python-user-agents,0.852,0.678
seatgeek/fuzzywuzzy,chardet/chardet,0.856,0.628
lincolnloop/python-qrcode,patrys/httmock,0.987,0.97
pyeve/eve,mozilla/bleach,0.973,0.962
gruns/furl,psf/requests,0.359,0.536
benoitc/gunicorn,jek/blinker,0.721,0.742
vandersonmota/model_mommy,keras-team/keras,0.672,0.684
fxsjy/jieba,coala/coala,0.55,0.866
fabric/fabric,sebastien/cuisine,0.175,0.755
timofurrer/try,joestump/python-oauth2,0.344,0.77
sunainapai/makesite,getpelican/pelican,0.213,0.086
selwin/python-user-agents,daviddrysdale/python-phonenumbers,0.064,0.083
python-excel/xlrd,uber/pyflame,0.126,0.703
nficano/python-lambda,libvips/pyvips,0.111,0.73
magenta/magenta,locustio/locust,0.589,0.77
robotframework/robotframework,pallets/werkzeug,0.428,0.664
seatgeek/fuzzywuzzy,mozillazg/python-pinyin,0.156,0.327
mikeorr/Unipath,Supervisor/supervisor,0.36,0.461
nicfit/eyeD3,abhiTronix/vidgear,0.842,0.332
scrapinghub/portia,moggers87/salmon,0.161,0.214
dateutil/dateutil,codelucas/newspaper,0.11,0.412
daviddrysdale/python-phonenumbers,daviddrysdale/python-phonenumbers,0.055,0.386
marshmallow-code/webargs,marshmallow-code/webargs,0.363,0.126
knipknap/SpiffWorkflow,ansible/ansible,0.511,0.137
benedekrozemberczki/karateclub,boto/boto3,0.749,0.627
nvbn/thefuck,encode/uvicorn,0.219,0.532
rochacbruno/quokka,feincms/feincms,0.113,0.068
gruns/furl,gruns/furl,0.069,0.079
kootenpv/yagmail,kootenpv/yagmail,0.176,0.115
timofurrer/try,pykong/copier,0.103,0.059
locustio/locust,asweigart/pyautogui,0.625,0.874
keon/algorithms,flask-admin/flask-admin,0.862,0.909
jfkirk/tensorrec,jfkirk/tensorrec,0.14,0.126
LuminosoInsight/python-ftfy,seatgeek/fuzzywuzzy,0.028,0.078
PrefectHQ/prefect,huge-success/sanic,0.914,0.883
spyoungtech/grequests,chapmanb/bcbio-nextgen,0.979,0.887
alecthomas/voluptuous,jeffknupp/sandman2,0.405,0.223
keunwoochoi/kapre,tyiannak/pyAudioAnalysis,0.305,0.156
willmcgugan/rich,peterbrittain/asciimatics,0.819,0.086
wireservice/csvkit,schematics/schematics,0.85,0.11
lancopku/pkuseg-python,fxsjy/jieba,0.078,0.082
pyinvoke/invoke,facebook/PathPicker,0.137,0.05
omab/python-social-auth,fabianp/memory_profiler,0.799,0.975
AtsushiSakai/PythonRobotics,stanfordnlp/stanza,0.653,0.953
nucleic/enaml,pybee/toga,0.067,0.167
flask-restful/flask-restful,tartiflette/tartiflette-asgi,0.264,0.385
pyeve/eve,saltstack/salt,0.661,0.16
SciTools/cartopy,timothycrosley/isort,0.421,0.158
maciejkula/spotlight,python-trio/trio,0.162,0.158
tyiannak/pyAudioAnalysis,vandersonmota/model_mommy,0.103,0.26
MongoEngine/mongoengine,shazow/urllib3,0.395,0.716
conda/conda,zostera/django-bootstrap4,0.634,0.642
pytransitions/transitions,faif/python-patterns,0.762,0.165
cloudnativelabs/kube-shell,jakubroztocil/httpie,0.379,0.18
SciTools/cartopy,altair-viz/altair,0.216,0.073
wtforms/wtforms,Pylons/deform,0.086,0.069
lektor/lektor,lektor/lektor,0.106,0.78
falconry/falcon,dahlia/awesome-sqlalchemy,0.378,0.822
joestump/python-oauth2,Bogdanp/dramatiq,0.305,0.428
mher/flower,mher/flower,0.089,0.406
libvips/pyvips,pallets/jinja,0.608,0.571
keleshev/schema,jazzband/django-pipeline,0.782,0.49
LuminosoInsight/python-ftfy,LuminosoInsight/python-ftfy,0.052,0.088
pypa/bandersnatch,devpi/devpi,0.034,0.092
h2oai/h2o-3,benhamner/Metrics,0.201,0.074
stanfordnlp/stanza,saffsd/langid.py,0.218,0.051
ray-project/ray,pybee/toga,0.805,0.814
getpelican/pelican,nose-devs/nose2,0.698,0.782
robinhood/faust,getpelican/pelican,0.887,0.614
PrefectHQ/prefect,fengsp/plan,0.7,0.353
PetrochukM/PyTorch-NLP,fogleman/Quads,0.227,0.531
tylerlaberge/PyPattyrn,0rpc/zerorpc-python,0.761,0.556
boppreh/keyboard,kevin1024/vcrpy,0.488,0.11
fogleman/Quads,mongodb/motor,0.573,0.191
antocuni/pdb,bloomberg/bqplot,0.478,0.732
davedoesdev/python-jwt,WhyNotHugo/python-barcode,0.657,0.832
jaraco/path.py,gorakhargosh/watchdog,0.146,0.158
antocuni/pdb,bpython/bpython,0.128,0.29
hhatto/nude.py,PySimpleGUI/PySimpleGUI,0.823,0.834
encode/orm,JaidedAI/EasyOCR,0.944,0.847
martinrusev/imbox,prabhupant/python-ds,0.393,0.274
encode/orm,mpdavis/python-jose,0.21,0.315
gotcha/ipdb,davedoesdev/python-jwt,0.198,0.953
Fizzadar/pyinfra,thumbor/thumbor,0.167,0.887
httplib2/httplib2,mymarilyn/clickhouse-driver,0.237,0.079
nficano/python-lambda,asweigart/pyautogui,0.201,0.041
PetrochukM/PyTorch-NLP,facebookresearch/pytext,0.058,0.059
conda/conda,sdispater/poetry,0.126,0.061
bloomberg/bqplot,SciTools/cartopy,0.064,0.031
spyoungtech/grequests,spyoungtech/grequests,0.082,0.069
laixintao/iredis,cloudnativelabs/kube-shell,0.455,0.379
conda/conda,PrefectHQ/prefect,0.488,0.264
pyca/pynacl,gabrielfalcao/HTTPretty,0.197,0.118
knipknap/SpiffWorkflow,gunnery/gunnery,0.317,0.067
SmileyChris/django-countries,frewsxcv/python-geojson,0.689,0.362
mingrammer/diagrams,jindaxiang/akshare,0.842,0.42
ryanmcgrath/twython,istrategylabs/django-wordpress,0.292,0.742
lxneng/alipay,r0x0r/pywebview,0.754,0.773
kootenpv/yagmail,martinrusev/imbox,0.179,0.152
dahlia/awesome-sqlalchemy,dahlia/awesome-sqlalchemy,0.694,0.076
flask-restful/flask-restful,django/daphne,0.274,0.244
stchris/untangle,mozilla/bleach,0.084,0.19
rkern/line_profiler,rkern/line_profiler,0.047,0.071
altair-viz/altair,mwaskom/seaborn,0.215,0.034
RaylockLLC/DearPyGui,PySimpleGUI/PySimpleGUI,0.089,0.104
Instagram/MonkeyType,google/pytype,0.198,0.351
zoofIO/flexx,jiaaro/pydub,0.242,0.432
python-pillow/Pillow,orsinium/textdistance,0.648,0.631
devpi/devpi,jfkirk/tensorrec,0.817,0.625
jazzband/django-taggit,jek/blinker,0.383,0.774
benhamner/Metrics,graphql-python/graphene,0.971,0.421
PyCQA/prospector,jendrikseipp/vulture,0.898,0.321
magenta/magenta,paramiko/paramiko,0.988,0.99
jmcarp/robobrowser,JohnLangford/vowpal_wabbit,0.994,0.978
mining/mining,awslabs/aws-data-wrangler,0.311,0.093
pymc-devs/pymc3,benedekrozemberczki/karateclub,0.144,0.177
MicroPyramid/forex-python,mwaskom/seaborn,0.734,0.228
codeinthehole/purl,gruns/furl,0.303,0.283
SerpentAI/SerpentAI,saltstack/salt,0.211,0.311
chardet/chardet,mozillazg/python-pinyin,0.103,0.232
xonsh/xonsh,xonsh/xonsh,0.051,0.114
awesto/django-shop,PyMySQL/PyMySQL,0.11,0.242
jazzband/localshop,emirozer/fake2db,0.434,0.634
keunwoochoi/kapre,davidaurelio/hashids-python,0.086,0.678
chineking/cola,jmcarp/robobrowser,0.333,0.38
klen/mixer,sshwsfc/xadmin,0.593,0.533
srusskih/SublimeJEDI,chardet/chardet,0.632,0.731
python/black,jazzband/pip-tools,0.492,0.715
spyder-ide/spyder,prabhupant/python-ds,0.775,0.459
Alir3z4/python-currencies,Alir3z4/python-currencies,0.289,0.54
sympy/sympy,statsmodels/statsmodels,0.075,0.04
ionelmc/python-hunter,ionelmc/python-manhole,0.094,0.134
python-attrs/attrs,henriquebastos/python-decouple,0.466,0.082
gak/pycallgraph,jendrikseipp/vulture,0.159,0.053
sshwsfc/xadmin,flask-admin/flask-admin,0.147,0.667
Parsely/streamparse,pybee/toga,0.197,0.829
WhyNotHugo/python-barcode,libvips/pyvips,0.186,0.093
pynamodb/PynamoDB,stephenmcd/hot-redis,0.16,0.105
pyca/pynacl,pyca/pynacl,0.051,0.105
vispy/vispy,bloomberg/bqplot,0.048,0.026
Microsoft/PTVS,gak/pycallgraph,0.895,0.887
jendrikseipp/vulture,lk-geimfari/mimesis,0.836,0.877
pybee/toga,zoofIO/flexx,0.095,0.045
mobolic/facebook-sdk,google/google-api-python-client,0.419,0.062
rsalmei/alive-progress,pytoolz/toolz,0.551,0.168
JohnLangford/vowpal_wabbit,lericson/pylibmc,0.63,0.165
facebook/PathPicker,audreyr/cookiecutter,0.123,0.195
grantjenks/python-sortedcontainers,prabhupant/python-ds,0.071,0.202
mher/flower,geex-arts/django-jet,0.065,0.249
google/yapf,jonathanslenders/python-prompt-toolkit,0.059,0.341
facebookresearch/pytext,lancopku/pkuseg-python,0.068,0.131
jazzband/localshop,pypa/bandersnatch,0.052,0.078
django-crispy-forms/django-crispy-forms,WiserTogether/django-remote-forms,0.037,0.224
elapouya/python-docx-template,tyiannak/pyAudioAnalysis,0.237,0.166
jmcarp/robobrowser,spotify/dh-virtualenv,0.944,0.224
python-excel/xlrd,unoconv/unoconv,0.585,0.148
beetbox/audioread,Cornices/cornice,0.661,0.852
conda/conda,jazzband/pip-tools,0.489,0.762
tqdm/tqdm,peterbrittain/asciimatics,0.079,0.076
jschneier/django-storages,justquick/django-activity-stream,0.27,0.109
scottrogowski/code2flow,esnme/ultrajson,0.371,0.663
Suor/funcy,uber/pyflame,0.48,0.593
timofurrer/maya,myusuf3/delorean,0.146,0.188
lk-geimfari/mimesis,srusskih/SublimeJEDI,0.138,0.264
BVLC/caffe,HypothesisWorks/hypothesis,0.143,0.605
google/google-api-python-client,mongodb/motor,0.082,0.501
jonathanslenders/python-prompt-toolkit,lericson/pylibmc,0.63,0.85
quantopian/zipline,pymc-devs/pymc3,0.504,0.821
PySimpleGUI/PySimpleGUI,pybee/toga,0.126,0.167
lorien/grab,psf/requests,0.066,0.273
jonashaag/bjoern,pyfilesystem/pyfilesystem2,0.139,0.075
amoffat/sh,amoffat/sh,0.286,0.184
DamnWidget/anaconda,sloria/doitlive,0.435,0.542
libvips/pyvips,buriy/python-readability,0.626,0.293
un33k/python-slugify,mindsdb/mindsdb,0.445,0.5
nucleic/enaml,r0x0r/pywebview,0.11,0.344
PyMySQL/PyMySQL,PyMySQL/PyMySQL,0.272,0.479
Yelp/mrjob,google/yapf,0.506,0.279
benedekrozemberczki/karateclub,binux/pyspider,0.742,0.311
dahlia/wand,tartiflette/tartiflette-aiohttp,0.414,0.238
podio/valideer,bbangert/beaker,0.797,0.513
jmcarp/robobrowser,un33k/python-slugify,0.826,0.523
getsentry/responses,sqlmapproject/sqlmap,0.564,0.643
coleifer/huey,coleifer/huey,0.286,0.68
jpadilla/pyjwt,davedoesdev/python-jwt,0.042,0.154
google/google-api-python-client,boto/boto3,0.04,0.042
locustio/locust,cobrateam/splinter,0.562,0.091
mongodb/motor,h2oai/h2o-3,0.962,0.206
hhatto/nude.py,dahlia/wand,0.085,0.051
pytoolz/toolz,facebook/PathPicker,0.044,0.084
SmileyChris/django-countries,maxmind/geoip-api-python,0.327,0.209
psf/requests-html,google/google-api-python-client,0.559,0.146
python-attrs/attrs,python-attrs/attrs,0.189,0.682
willmcgugan/rich,jpadilla/pyjwt,0.248,0.549
srusskih/SublimeJEDI,getsentry/sentry-python,0.667,0.451
google/pytype,MicroPyramid/forex-python,0.589,0.325
mooz/percol,mooz/percol,0.137,0.109
blaze/blaze,awslabs/aws-data-wrangler,0.254,0.099
henriquebastos/python-decouple,facebookresearch/hydra,0.111,0.071
coleifer/huey,noxrepo/pox,0.408,0.114
flask-restful/flask-restful,pyeve/eve,0.145,0.056
jiaaro/pydub,beetbox/audioread,0.147,0.085
burnash/gspread,nucleic/enaml,0.264,0.582
mozillazg/python-pinyin,pyglet/pyglet,0.267,0.597
stanfordnlp/stanza,python-excel/xlrd,0.886,0.369
gmr/queries,facebook/PathPicker,0.706,0.652
sshwsfc/xadmin,ajenti/ajenti,0.17,0.161
mwaskom/seaborn,bokeh/bokeh,0.24,0.143
gabrielfalcao/HTTPretty,mindflayer/python-mocket,0.061,0.089
zachwill/moment,dirn/When.py,0.055,0.064
