repo1,repo2,Similarity(No. 1),Similarity(No. 2)
nvdv/vprof,fabianp/memory_profiler,0.167,0.585
quantopian/zipline,statsmodels/statsmodels,0.099,0.331
chapmanb/bcbb,sympy/sympy,0.134,0.479
keunwoochoi/kapre,keunwoochoi/kapre,0.902,0.452
encode/httpx,kornia/kornia,0.953,0.438
jindaxiang/akshare,flask-restful/flask-restful,0.099,0.504
unoconv/unoconv,boto/boto3,0.17,0.381
dahlia/awesome-sqlalchemy,stanfordnlp/stanza,0.945,0.204
mahmoud/boltons,blaze/blaze,0.667,0.285
seatgeek/sixpack,emirozer/fake2db,0.745,0.493
mozilla/bleach,fogleman/Quads,0.785,0.314
sshwsfc/xadmin,wooey/wooey,0.095,0.112
deanmalmgren/textract,coleifer/micawber,0.169,0.086
flask-restful/flask-restful,mahmoud/boltons,0.191,0.814
PyMySQL/mysqlclient-python,platformio/platformio-core,0.067,0.928
PrefectHQ/prefect,PrefectHQ/prefect,0.191,0.145
flask-admin/flask-admin,mher/flower,0.232,0.128
modoboa/modoboa,gleitz/howdoi,0.137,0.599
pwaller/pyfiglet,chardet/chardet,0.093,0.479
mymarilyn/clickhouse-driver,HypothesisWorks/hypothesis,0.932,0.844
0rpc/zerorpc-python,omab/python-social-auth,0.78,0.832
google/pyringe,ionelmc/python-manhole,0.182,0.154
patrys/httmock,kevin1024/vcrpy,0.095,0.062
graphql-python/graphene,jmcnamara/XlsxWriter,0.827,0.671
Suor/funcy,audreyr/cookiecutter,0.892,0.609
jab/bidict,cdgriffith/Box,0.18,0.336
dabeaz/ply,NicolasHug/Surprise,0.271,0.346
patrys/httmock,getsentry/responses,0.069,0.191
patx/pickledb,ovalhub/pyicu,0.238,0.349
sirfz/tesserocr,kornia/kornia,0.238,0.048
facebookresearch/pytext,fxsjy/jieba,0.348,0.107
h2oai/h2o-3,bloomreach/s4cmd,0.612,0.281
SerpentAI/SerpentAI,lektor/lektor,0.08,0.164
mobolic/facebook-sdk,ryanmcgrath/twython,0.124,0.215
Alir3z4/html2text,miso-belica/sumy,0.097,0.092
Delgan/loguru,Delgan/loguru,0.124,0.091
isnowfy/snownlp,fxsjy/jieba,0.173,0.092
facebook/PathPicker,klen/mixer,0.199,0.148
pykong/copier,modoboa/modoboa,0.069,0.107
httplib2/httplib2,twisted/treq,0.103,0.128
metawilm/cl-python,kornia/kornia,0.281,0.17
mpdavis/python-jose,peterbrittain/asciimatics,0.067,0.85
ellisonleao/pyshorteners,lemire/simdjson,0.188,0.569
agiliq/merchant,RaylockLLC/DearPyGui,0.736,0.54
MasoniteFramework/masonite,amoffat/sh,0.231,0.573
0rpc/zerorpc-python,hhatto/nude.py,0.41,0.855
tiangolo/fastapi,mitsuhiko/unp,0.217,0.569
bpython/bpython,robinhood/faust,0.945,0.914
marrow/mailer,tyiannak/pyAudioAnalysis,0.975,0.867
jazzband/pip-tools,jazzband/pip-tools,0.051,0.056
h2oai/h2o-3,h2oai/h2o-3,0.036,0.031
platformio/platformio-core,platformio/platformio-core,0.129,0.068
tylerlaberge/PyPattyrn,pytransitions/transitions,0.05,0.094
lericson/pylibmc,django-cache-machine/django-cache-machine,0.065,0.26
ponyorm/pony,rq/rq,0.137,0.21
jazzband/localshop,devpi/devpi,0.187,0.067
sergree/matchering,thumbor/thumbor,0.553,0.087
LuminosoInsight/python-ftfy,gruns/furl,0.934,0.701
buriy/python-readability,Alir3z4/html2text,0.83,0.466
evonove/django-oauth-toolkit,lepture/authlib,0.891,0.194
ibayer/fastFM,kootenpv/yagmail,0.963,0.507
seatgeek/fuzzywuzzy,vinta/pangu.py,0.295,0.091
miracle2k/flask-assets,pyparsing/pyparsing,0.498,0.062
stanfordnlp/stanza,bpython/bpython,0.218,0.152
alecthomas/voluptuous,Kotti/Kotti,0.562,0.147
python-rope/rope,uber/pyflame,0.25,0.256
tartiflette/tartiflette-aiohttp,tartiflette/tartiflette-asgi,0.256,0.378
pallets/markupsafe,gawel/pyquery,0.203,0.074
Alir3z4/html2text,buriy/python-readability,0.182,0.034
jeffknupp/sandman2,Pylons/waitress,0.199,0.107
getsentry/sentry-python,Delgan/loguru,0.187,0.157
stephenmcd/hot-redis,devpi/devpi,0.901,0.716
tomerfiliba/rpyc,coleifer/huey,0.895,0.615
PyMySQL/PyMySQL,PyMySQL/mysqlclient-python,0.658,0.126
s3tools/s3cmd,bloomreach/s4cmd,0.227,0.049
mkdocs/mkdocs,jpadilla/pyjwt,0.94,0.501
stephenmcd/hot-redis,pynamodb/PynamoDB,0.834,0.563
mstamy2/PyPDF2,mstamy2/PyPDF2,0.476,0.318
nicfit/eyeD3,keunwoochoi/kapre,0.86,0.376
sunainapai/makesite,django-cache-machine/django-cache-machine,0.351,0.916
Alir3z4/python-currencies,erikrose/more-itertools,0.71,0.963
hhatto/nude.py,keunwoochoi/kapre,0.121,0.13
Suor/funcy,Suor/funcy,0.096,0.185
miracle2k/flask-assets,kornia/kornia,0.991,0.802
Microsoft/PTVS,dbcli/litecli,0.981,0.914
jmcarp/robobrowser,lorien/grab,0.22,0.21
zopefoundation/ZODB,jpadilla/pyjwt,0.378,0.434
thauber/django-schedule,knipknap/SpiffWorkflow,0.134,0.046
altair-viz/altair,mingrammer/diagrams,0.196,0.081
fengsp/plan,fengsp/plan,0.131,0.063
wtforms/wtforms,WiserTogether/django-remote-forms,0.26,0.059
cobrateam/splinter,PrefectHQ/prefect,0.167,0.334
